(ad,1057) (75,1057)
(b87,d67) (557,d67)
(11,155) (35,155)
(15d,1c3) (95,1c3)
(1ab,47b) (2b,47b)
(df3,1e3b) (aab,1e3b)
(593,733) (9b,733)
(669,1627) (759,1627)
(18d,215) (85,215)
(8b,601) (1a3,601)
(e41,1457) (211,1457)
(295,323) (3d,323)
(a03,d67) (11b,d67)
(9,4db) (f9,4db)
(955,1219) (6fd,1219)
(15f7,2645) (b47,2645)
(3b,461) (197,461)
(139,205) (61,205)
(b65,1c91) (391,1c91)
(a33,ff7) (5b,ff7)
(2f,1457) (71f,1457)
(11ab,1a4b) (9b,1a4b)
(b,dd) (23,dd)
(16f,2c9) (df,2c9)
(24d,535) (a9,535)
(8ef,b6b) (19f,b6b)
(25c7,2f3b) (16d7,2f3b)
(bf,263) (107,263)
(39b,f61) (737,f61)
(1807,1ccd) (97,1ccd)
(a1f,1dad) (41b,1dad)
(917,a27) (4c7,a27)
(607,f1d) (517,f1d)
(1ad7,2357) (112f,2357)
(125,107f) (22d,107f)
(5e7,bb1) (317,bb1)
(e6b,1a6f) (d3,1a6f)
(2d7,383) (df,383)
(133,29f) (2b,29f)
(af,d67) (1ff,d67)
(43,353) (14b,353)
(b59,1553) (811,1553)
(90d,ac7) (265,ac7)
(2ad,1403) (84d,1403)
(31f,7e5) (127,7e5)
(5,c59) (25d,c59)
(1fbb,301f) (ef3,301f)
(581,e41) (581,e41)
(a13,afd) (51b,afd)
(95,bb) (1d,bb)
(1f,719) (307,719)
(155,20f) (dd,20f)
(109d,1691) (605,1691)
(26e9,288b) (1399,288b)
(48d,56b) (115,56b)
(4b5,1f15) (19d,1f15)
(76d,7ff) (375,7ff)
(78d,887) (e5,887)
(583,86f) (3eb,86f)
(11,40d) (71,40d)
(37d,5b1) (11,5b1)
(251,845) (11,845)
(109,e63) (451,e63)
(8e9,1e83) (7f9,1e83)
(377,a8d) (107,a8d)
(409,b69) (175,b69)
(a3,fd) (1b,fd)
(1b5,545) (ad,545)
(47,3eb) (b7,3eb)
(1c5,439) (69,439)
(137,353) (bf,353)
(317,485) (107,485)
(769,b6b) (4f9,b6b)
(89b,a3f) (313,a3f)
(e1b,104b) (593,104b)
(649,1553) (2e9,1553)
(38b,66b) (2b,66b)
(381,54d) (65,54d)
(1b9,457) (a1,457)
(15b,197) (53,197)
(29f,2339) (443,2339)
(a8b,1963) (6e3,1963)
(18f5,1f15) (bbd,1f15)
(a3f,1c87) (43f,1c87)
(fd,1e1) (b5,1e1)
(8ad,1d5f) (3b5,1d5f)
(2e9,9af) (469,9af)
(19e7,1aed) (97,1aed)
(7a9,2165) (ca1,2165)
(265,4af) (25,4af)
(1bd,1ba9) (595,1ba9)
(3eb,5bd) (43,5bd)
(ca9,2a37) (1429,2a37)
(44b,8d7) (2e3,8d7)
(c13,ca7) (50b,ca7)
(745,abb) (3d,abb)
(189d,23cf) (6e5,23cf)
(13,763) (17b,763)
(c9,2b9) (79,2b9)
(847,1457) (757,1457)
(a7b,1747) (93,1747)
(361,1961) (a21,1961)
(709,a43) (169,a43)
(44f,abb) (4df,abb)
(137,187) (67,187)
(583,231d) (50b,231d)
(139,cdd) (589,cdd)
(c05,105b) (1d,105b)
(2b,d1) (43,d1)
(489,661) (141,661)
(f5,461) (1d9,461)
(d1f,1457) (68f,1457)
(26b,3dd) (67,3dd)
(97,3b5) (67,3b5)
(679,107f) (4f9,107f)
(509,733) (b9,733)
(149b,17bd) (997,17bd)
(415,73d) (fd,73d)
(223,c3b) (373,c3b)
(af9,15b9) (121,15b9)
(3e5,5dd) (1bd,5dd)
(42d,973) (455,973)
(aaf,1055) (8f,1055)
(1325,294d) (12ad,294d)
(25f,583) (19f,583)
(daf,f61) (377,f61)
(5c9,6b5) (79,6b5)
(89,29b) (9,29b)
(8db,bed) (53,bed)
(4f,545) (13f,545)
(1d,143f) (365,143f)
(263,6d7) (cb,6d7)
(8d7,a15) (2c7,a15)
(125,319) (13d,319)
(20db,2a37) (37b,2a37)
(1cd,817) (31d,817)
(4e1,c79) (31,c79)
(551,96d) (5,96d)
(1377,20bf) (98f,20bf)
(7b1,c79) (24d,c79)
(a7,7a5) (b,7a5)
(16f9,1c03) (9d9,1c03)
(8d1,1415) (4b1,1415)
(13b1,1483) (51,1483)
(313,1219) (89b,1219)
